triplet;kappa;theta;sigma;rho;price;err;exec_time
213;1.0000;0.0600;0.1600;-0.7500;0.113450;0.001610;1.34
214;1.0000;0.0600;0.1800;-0.7500;0.114257;0.001608;1.34
215;1.0000;0.0600;0.2000;-0.7500;0.112670;0.001578;1.34
216;1.0000;0.0600;0.2200;-0.7500;0.112332;0.001553;1.34
217;1.0000;0.0600;0.2400;-0.7500;0.112748;0.001547;1.34
218;1.0000;0.0600;0.2600;-0.7500;0.112645;0.001531;1.34
219;1.0000;0.0600;0.2800;-0.7500;0.111567;0.001505;1.34
220;1.0000;0.0700;0.1000;-0.7500;0.117897;0.001730;1.34
221;1.0000;0.0700;0.1200;-0.7500;0.117117;0.001705;1.34
222;1.0000;0.0700;0.1400;-0.7500;0.117393;0.001697;1.34
223;1.0000;0.0700;0.1600;-0.7500;0.117116;0.001669;1.34
224;1.0000;0.0700;0.1800;-0.7500;0.116680;0.001651;1.34
225;1.0000;0.0700;0.2000;-0.7500;0.115588;0.001621;1.34
226;1.0000;0.0700;0.2200;-0.7500;0.114971;0.001601;1.34
227;1.0000;0.0700;0.2400;-0.7500;0.114574;0.001588;1.34
228;1.0000;0.0700;0.2600;-0.7500;0.115766;0.001583;1.34
229;1.0000;0.0700;0.2800;-0.7500;0.115458;0.001560;1.34
230;1.0000;0.0800;0.1000;-0.7500;0.120057;0.001777;1.34
231;1.0000;0.0800;0.1200;-0.7500;0.120455;0.001760;1.34
232;1.0000;0.0800;0.1400;-0.7500;0.119597;0.001734;1.34
233;1.0000;0.0800;0.1600;-0.7500;0.117606;0.001699;1.34
234;1.0000;0.0800;0.1800;-0.7500;0.118500;0.001686;1.34
235;1.0000;0.0800;0.2000;-0.7500;0.118165;0.001671;1.34
236;1.0000;0.0800;0.2200;-0.7500;0.117711;0.001640;1.34
237;1.0000;0.0800;0.2400;-0.7500;0.117810;0.001631;1.34
238;1.0000;0.0800;0.2600;-0.7500;0.117653;0.001619;1.34
239;1.0000;0.0800;0.2800;-0.7500;0.117206;0.001600;1.34
240;1.0000;0.0900;0.1000;-0.7500;0.121929;0.001812;1.34
241;1.0000;0.0900;0.1200;-0.7500;0.121290;0.001787;1.34
242;1.0000;0.0900;0.1400;-0.7500;0.119324;0.001748;1.34
243;1.0000;0.0900;0.1600;-0.7500;0.120678;0.001744;1.34
244;1.0000;0.0900;0.1800;-0.7500;0.119792;0.001723;1.34
