triplet;kappa;theta;sigma;rho;price;err;exec_time
178;0.7500;0.1200;0.2600;-0.8500;0.118932;0.001652;110.94
179;0.7500;0.1200;0.2800;-0.8500;0.119872;0.001643;110.94
180;0.7500;0.1300;0.1000;-0.8500;0.129606;0.001922;110.94
181;0.7500;0.1300;0.1200;-0.8500;0.129336;0.001896;110.94
182;0.7500;0.1300;0.1400;-0.8500;0.129815;0.001883;110.94
183;0.7500;0.1300;0.1600;-0.8500;0.128505;0.001845;110.94
184;0.7500;0.1300;0.1800;-0.8500;0.127727;0.001812;110.94
185;0.7500;0.1300;0.2000;-0.8500;0.124652;0.001761;110.94
186;0.7500;0.1300;0.2200;-0.8500;0.124364;0.001751;110.94
187;0.7500;0.1300;0.2400;-0.8500;0.120182;0.001699;110.94
188;0.7500;0.1300;0.2600;-0.8500;0.121381;0.001688;110.94
189;0.7500;0.1300;0.2800;-0.8500;0.121273;0.001670;110.94
190;0.7500;0.1400;0.1000;-0.8500;0.132978;0.001971;110.94
191;0.7500;0.1400;0.1200;-0.8500;0.130934;0.001924;110.94
192;0.7500;0.1400;0.1400;-0.8500;0.130564;0.001901;110.94
193;0.7500;0.1400;0.1600;-0.8500;0.131064;0.001885;110.94
194;0.7500;0.1400;0.1800;-0.8500;0.128063;0.001833;110.94
195;0.7500;0.1400;0.2000;-0.8500;0.128549;0.001822;110.94
196;0.7500;0.1400;0.2200;-0.8500;0.124547;0.001764;110.94
197;0.7500;0.1400;0.2400;-0.8500;0.122135;0.001723;110.94
198;0.7500;0.1400;0.2600;-0.8500;0.121900;0.001709;110.94
199;0.7500;0.1400;0.2800;-0.8500;0.123560;0.001710;110.94
200;1.0000;0.0500;0.1000;-0.7500;0.112133;0.001632;110.94
201;1.0000;0.0500;0.1200;-0.7500;0.111901;0.001614;110.94
202;1.0000;0.0500;0.1400;-0.7500;0.110234;0.001577;110.94
203;1.0000;0.0500;0.1600;-0.7500;0.109886;0.001555;110.94
204;1.0000;0.0500;0.1800;-0.7500;0.108163;0.001523;110.94
205;1.0000;0.0500;0.2000;-0.7500;0.107209;0.001508;110.94
206;1.0000;0.0500;0.2200;-0.7500;0.106939;0.001492;110.94
207;1.0000;0.0500;0.2400;-0.7500;0.106615;0.001473;110.94
208;1.0000;0.0500;0.2600;-0.7500;0.107209;0.001461;110.94
209;1.0000;0.0500;0.2800;-0.7500;0.107224;0.001449;110.94
210;1.0000;0.0600;0.1000;-0.7500;0.114958;0.001674;110.94
211;1.0000;0.0600;0.1200;-0.7500;0.114882;0.001667;110.94
212;1.0000;0.0600;0.1400;-0.7500;0.114422;0.001635;110.94
